
Average Sentence Length,Number of features mentioned,Ratio of features mentioned,Total mentions of features,Number of nouns,Number of verbs,Ratio of nouns,Ratio of verbs,Review,Number of Paragraphs,Paragraph Separators,rating
31.75,3,0.75,5,37,14,0.29133858267716534,0.11023622047244094,127,1,0,very good
14.5,1,0.5,1,9,6,0.3103448275862069,0.20689655172413793,29,1,0,good
35.0,3,3.0,3,13,3,0.37142857142857144,0.08571428571428572,35,2,0,ok
11.0,1,1.0,1,4,1,0.36363636363636365,0.09090909090909091,11,1,0,ok
34.0,2,0.6666666666666666,2,31,10,0.30392156862745096,0.09803921568627451,102,2,0,very good
15.857142857142858,4,0.5714285714285714,4,40,10,0.36036036036036034,0.09009009009009009,111,3,0,good
18.6,0,0.0,0,29,13,0.3118279569892473,0.13978494623655913,93,3,0,good
49.333333333333336,0,0.0,0,37,24,0.25,0.16216216216216217,148,5,0,good
21.75,4,1.0,4,25,12,0.28735632183908044,0.13793103448275862,87,2,0,good
84.0,2,2.0,2,19,16,0.2261904761904762,0.19047619047619047,84,2,0,good
21.857142857142858,2,0.2857142857142857,3,48,12,0.3137254901960784,0.0784313725490196,153,3,0,very good
43.333333333333336,3,1.0,3,45,16,0.34615384615384615,0.12307692307692308,130,6,1,good
32.666666666666664,6,2.0,6,27,10,0.2755102040816326,0.10204081632653061,98,6,0,good
109.0,3,3.0,3,27,16,0.24770642201834864,0.14678899082568808,109,1,0,very good
16.714285714285715,5,0.7142857142857143,5,38,17,0.3247863247863248,0.1452991452991453,117,4,0,very good
22.5,1,0.5,1,17,3,0.37777777777777777,0.06666666666666667,45,1,0,good
32.25,6,1.5,7,52,9,0.40310077519379844,0.06976744186046512,129,14,0,very good
35.833333333333336,3,0.5,4,65,33,0.3023255813953488,0.15348837209302327,215,17,2,very good
13.066666666666666,4,0.26666666666666666,6,59,21,0.3010204081632653,0.10714285714285714,196,7,1,very good
47.0,3,1.5,3,26,13,0.2765957446808511,0.13829787234042554,94,3,0,good
17.571428571428573,1,0.14285714285714285,5,34,22,0.2764227642276423,0.17886178861788618,123,3,0,very good
119.0,3,3.0,3,29,18,0.24369747899159663,0.15126050420168066,119,1,1,very good
91.0,1,1.0,1,27,14,0.2967032967032967,0.15384615384615385,91,6,0,very good
12.5,4,0.5,4,25,14,0.25,0.14,100,1,0,good
17.142857142857142,3,0.42857142857142855,7,37,19,0.30833333333333335,0.15833333333333333,120,1,0,very good
60.0,0,0.0,0,18,7,0.3,0.11666666666666667,60,4,0,good
15.857142857142858,1,0.14285714285714285,1,15,18,0.13513513513513514,0.16216216216216217,111,1,0,very good
71.0,1,1.0,1,21,10,0.29577464788732394,0.14084507042253522,71,7,0,good
54.0,1,1.0,1,15,4,0.2777777777777778,0.07407407407407407,54,2,0,ok
39.0,0,0.0,0,12,3,0.3076923076923077,0.07692307692307693,39,1,0,good
34.0,5,1.0,8,59,27,0.34705882352941175,0.1588235294117647,170,16,1,awesome
13.642857142857142,4,0.2857142857142857,6,55,27,0.2879581151832461,0.14136125654450263,191,18,0,awesome
91.0,0,0.0,0,21,14,0.23076923076923078,0.15384615384615385,91,1,0,very good
21.166666666666668,7,1.1666666666666667,7,40,13,0.31496062992125984,0.10236220472440945,127,1,0,good
51.5,1,0.5,1,25,15,0.24271844660194175,0.14563106796116504,103,1,0,very good
18.25,0,0.0,0,23,10,0.3150684931506849,0.136986301369863,73,3,1,good
75.0,1,0.5,1,45,16,0.3,0.10666666666666667,150,7,0,very good
41.8,6,1.2,8,59,29,0.2822966507177033,0.13875598086124402,209,6,1,very good
31.2,1,0.2,1,51,15,0.3269230769230769,0.09615384615384616,156,5,0,awesome
17.555555555555557,1,0.1111111111111111,1,48,19,0.3037974683544304,0.12025316455696203,158,16,0,very good
79.0,2,2.0,2,17,10,0.21518987341772153,0.12658227848101267,79,7,0,very good
38.0,1,1.0,3,15,4,0.39473684210526316,0.10526315789473684,38,6,0,ok
23.2,2,0.4,2,37,14,0.31896551724137934,0.1206896551724138,116,11,0,very good
21.875,3,0.375,5,47,25,0.26857142857142857,0.14285714285714285,175,2,0,very good
17.0,1,1.0,1,6,1,0.35294117647058826,0.058823529411764705,17,1,0,ok
27.2,4,0.8,5,41,16,0.3014705882352941,0.11764705882352941,136,7,0,very good
39.0,0,0.0,0,26,10,0.3333333333333333,0.1282051282051282,78,1,0,very good
32.666666666666664,0,0.0,0,23,16,0.23469387755102042,0.16326530612244897,98,5,0,very good
41.0,4,2.0,5,24,9,0.2926829268292683,0.10975609756097561,82,2,0,good
44.5,0,0.0,0,29,14,0.3258426966292135,0.15730337078651685,89,1,1,very good
39.666666666666664,0,0.0,0,36,18,0.3025210084033613,0.15126050420168066,119,5,0,very good
2.25,0,0.0,0,3,1,0.3333333333333333,0.1111111111111111,9,1,0,ok
19.5,1,0.5,1,14,3,0.358974358974359,0.07692307692307693,39,5,0,good
16.0,0,0.0,0,16,0,1.0,0.0,16,1,0,ok
20.76923076923077,4,0.3076923076923077,5,79,37,0.29259259259259257,0.13703703703703704,270,8,1,awesome
34.0,1,1.0,1,12,5,0.35294117647058826,0.14705882352941177,34,2,0,good
17.363636363636363,0,0.0,0,44,33,0.23036649214659685,0.17277486910994763,191,2,0,very good
18.0,2,0.6666666666666666,5,13,7,0.24074074074074073,0.12962962962962962,54,2,0,good
38.0,1,1.0,1,11,7,0.2894736842105263,0.18421052631578946,38,1,0,good
75.0,3,3.0,4,25,7,0.3333333333333333,0.09333333333333334,75,1,0,ok
6.0,0,0.0,0,6,4,0.3333333333333333,0.2222222222222222,18,1,0,good
9.833333333333334,1,0.16666666666666666,1,15,7,0.2542372881355932,0.11864406779661017,59,1,0,very good
19.0,1,0.5,1,11,3,0.2894736842105263,0.07894736842105263,38,1,0,ok
20.25,2,0.25,2,61,16,0.3765432098765432,0.09876543209876543,162,16,0,awesome
22.0,1,1.0,1,6,1,0.2727272727272727,0.045454545454545456,22,1,0,ok
16.0,1,1.0,1,9,0,0.5625,0.0,16,1,0,ok
39.0,1,1.0,1,14,3,0.358974358974359,0.07692307692307693,39,1,0,good
30.0,1,0.5,1,15,9,0.25,0.15,60,1,0,good
21.0,1,1.0,1,7,0,0.3333333333333333,0.0,21,1,0,good
21.0,0,0.0,0,11,1,0.5238095238095238,0.047619047619047616,21,2,0,ok
47.0,3,3.0,3,10,6,0.2127659574468085,0.1276595744680851,47,1,0,ok
50.0,0,0.0,0,12,7,0.24,0.14,50,2,0,good
29.0,2,2.0,2,9,2,0.3103448275862069,0.06896551724137931,29,1,0,ok
17.0,0,0.0,0,5,3,0.29411764705882354,0.17647058823529413,17,1,0,ok
13.4,0,0.0,0,18,13,0.26865671641791045,0.19402985074626866,67,3,0,very good
70.5,3,1.5,5,27,22,0.19148936170212766,0.15602836879432624,141,6,0,very good
35.0,1,1.0,1,13,4,0.37142857142857144,0.11428571428571428,35,1,0,good
33.0,1,1.0,1,11,0,0.3333333333333333,0.0,33,1,0,ok
59.333333333333336,3,1.0,3,43,26,0.24157303370786518,0.14606741573033707,178,5,0,very good
16.857142857142858,1,0.14285714285714285,1,29,17,0.2457627118644068,0.1440677966101695,118,5,1,very good
27.75,0,0.0,0,24,19,0.21621621621621623,0.17117117117117117,111,3,0,very good
41.0,2,1.0,6,19,12,0.23170731707317074,0.14634146341463414,82,3,0,good
93.0,2,2.0,2,25,9,0.26881720430107525,0.0967741935483871,93,2,0,very good
38.0,1,1.0,1,13,2,0.34210526315789475,0.05263157894736842,38,1,0,good
11.0,1,1.0,1,1,2,0.09090909090909091,0.18181818181818182,11,1,0,bad
17.0,0,0.0,0,5,2,0.29411764705882354,0.11764705882352941,17,2,0,ok
78.0,3,3.0,5,18,8,0.23076923076923078,0.10256410256410256,78,2,0,very good
42.0,4,4.0,4,11,6,0.2619047619047619,0.14285714285714285,42,1,0,good
42.0,2,2.0,2,11,7,0.2619047619047619,0.16666666666666666,42,2,0,ok
54.0,5,5.0,5,25,3,0.46296296296296297,0.05555555555555555,54,1,0,good
70.0,1,1.0,1,17,10,0.24285714285714285,0.14285714285714285,70,1,0,good
21.0,1,0.5,1,15,5,0.35714285714285715,0.11904761904761904,42,1,0,ok
24.0,1,1.0,1,8,1,0.3333333333333333,0.041666666666666664,24,1,0,ok
27.0,0,0.0,0,18,7,0.3333333333333333,0.12962962962962962,54,1,0,ok
0,0,0,0,,,0,0,0,0,0,bad
23.333333333333332,1,0.3333333333333333,1,14,10,0.2,0.14285714285714285,70,1,0,ok
17.5,2,0.3333333333333333,2,38,14,0.3619047619047619,0.13333333333333333,105,3,0,very good
25.5,0,0.0,0,17,4,0.3333333333333333,0.0784313725490196,51,1,0,good
41.0,2,0.6666666666666666,2,59,8,0.4796747967479675,0.06504065040650407,123,19,2,very good
23.0,0,0.0,0,10,1,0.43478260869565216,0.043478260869565216,23,1,0,ok
16.0,0,0.0,0,9,6,0.28125,0.1875,32,1,0,good
56.0,2,2.0,2,22,4,0.39285714285714285,0.07142857142857142,56,1,0,ok
25.0,2,2.0,2,6,4,0.24,0.16,25,1,0,ok
25.666666666666668,2,0.6666666666666666,3,20,7,0.2597402597402597,0.09090909090909091,77,2,0,good
50.0,2,2.0,3,16,4,0.32,0.08,50,2,0,good
20.0,0,0.0,0,4,3,0.2,0.15,20,1,0,ok
15.6,0,0.0,0,22,11,0.28205128205128205,0.14102564102564102,78,4,0,very good
41.0,0,0.0,0,8,6,0.1951219512195122,0.14634146341463414,41,1,0,ok
72.0,2,2.0,2,16,6,0.2222222222222222,0.08333333333333333,72,1,0,ok
35.0,0,0.0,0,23,10,0.32857142857142857,0.14285714285714285,70,1,0,very good
48.0,1,1.0,1,17,6,0.3541666666666667,0.125,48,1,0,ok
62.0,2,2.0,2,21,9,0.3387096774193548,0.14516129032258066,62,1,0,very good
84.0,6,6.0,6,29,10,0.34523809523809523,0.11904761904761904,84,1,0,ok
40.0,2,2.0,2,13,4,0.325,0.1,40,1,0,ok
